ticker,direction,entry_date,entry_price,trigger_level,mid_target,full_target,stop_level,central_pivot,atr_at_entry,exit_date,exit_price,exit_reason,half_exit_date,half_exit_price,pnl_pct,pnl_dollars,hold_days,hit_mid,hit_full
SPY,long,2019-03-21,282.15,282.15,283.13,284.1,281.55,281.55,2.55,2019-03-22,279.25,stop_loss,2019-03-22,283.13,-0.3416,-34.16,1,True,False
SPY,long,2020-06-05,312.75,312.75,315.01,317.27,311.36,311.36,5.91,2020-06-08,317.27,full_target,2020-06-08,315.01,1.0819,108.19,1,True,True
SPY,long,2020-07-14,316.29,316.29,318.63,320.97,314.84,314.84,6.13,2020-07-15,320.97,full_target,2020-07-15,318.63,1.1112,111.12,1,True,True
SPY,long,2021-07-07,433.69,433.69,434.91,436.14,432.93,432.93,3.21,2021-07-08,430.92,stop_loss,,,-0.638,-63.8,1,False,False
SPY,long,2021-07-09,431.74,431.74,433.07,434.4,430.92,430.92,3.48,2021-07-12,434.4,full_target,2021-07-12,433.07,0.4614,46.14,1,True,True
SPY,long,2021-08-27,447.04,447.04,448.31,449.57,446.26,446.26,3.31,2021-08-30,449.57,full_target,2021-08-30,448.31,0.4247,42.47,1,True,True
SPY,long,2023-05-25,412.12,412.12,413.79,415.47,411.09,411.09,4.38,2023-05-26,415.47,full_target,2023-05-26,413.79,0.6085,60.85,1,True,True
SPY,long,2023-06-01,418.9,418.9,420.61,422.31,417.85,417.85,4.46,2023-06-02,422.31,full_target,2023-06-02,420.61,0.6098,60.98,1,True,True
SPY,long,2024-01-18,473.27,473.27,474.86,476.45,472.29,472.29,4.16,2024-01-19,476.45,full_target,2024-01-19,474.86,0.5042,50.42,1,True,True
SPY,short,2025-03-10,573.75,573.75,570.24,566.72,575.92,575.92,9.2,2025-03-11,566.72,full_target,2025-03-11,570.24,0.9186,91.86,1,True,True
SPY,short,2025-04-03,562.23,562.23,558.52,554.81,564.52,564.52,9.71,2025-04-04,554.81,full_target,2025-04-04,558.52,0.9899,98.99,1,True,True
SPY,short,2025-04-08,500.95,500.95,495.39,489.84,504.38,504.38,14.54,2025-04-09,548.62,stop_loss,2025-04-09,495.39,-4.2037,-420.37,1,True,False
SPY,short,2025-04-10,544.16,544.16,536.95,529.73,548.62,548.62,18.89,2025-04-11,529.73,full_target,2025-04-11,536.95,1.9886,198.86,1,True,True
