"Date","Primary Breadth Indicators Number of stocks up 4% plus today","Number of stocks down 4% plus today","5 day ratio","10 day  ratio ","Number of stocks up 25% plus in a quarter","Number of stocks down 25% + in a quarter","Secondary Breadth Indicators Number of stocks up 25% + in a month","Number of stocks down 25% + in a month","Number of stocks up 50% + in a month","Number of stocks down 50% + in a month","Number of stocks up 13% + in 34 days","Number of stocks down 13% + in 34 days"," Worden Common stock universe","T2108 ","S&P"
"3/12/2026","150","630","0.74","0.78","1023","1329","112","208","25","25","1226","2289","6388","25.24","6,672.32"
"3/11/2026","223","156","0.92","1.01","1128","1199","117","173","33","21","1383","2056","6388","29.98","6,775.80"
"3/10/2026","244","173","1.11","1.09","1107","1194","129","164","31","22","1350","1978","6388","31.58","6,781.48"
"3/9/2026","363","159","0.84","1.17","1103","1176","137","167","33","21","1414","1938","6386","32.56","6,795.99"
"3/6/2026","141","388","0.82","0.93","1061","1186","173","118","43","20","1366","2017","6384","33.82","6,740.02"
"3/5/2026","213","407","0.81","1.00","1196","1125","141","126","34","24","1524","1822","6382","41.30","6,380.71"
"3/4/2026","381","79","1.10","1.13","1262","1104","154","134","32","27","1670","1662","6383","46.76","6,869.50"
"3/3/2026","137","446","1.06","1.09","1166","1165","137","163","32","29","1511","1771","6379","45.21","6,816.63"
"3/2/2026","355","176","1.64","1.22","1300","1127","192","168","38","30","1737","1641","6381","49.48","6,881.62"
"2/27/2026","201","483","1.04","1.22","1310","1150","136","220","30","33","1690","1690","6380","48.89","6,878.88"
"2/26/2026","414","174","1.24","1.09","1400","1102","145","207","27","31","1871","1611","6370","54.38","6,908.86"
"2/25/2026","404","141","1.16","0.92","1463","1147","132","254","30","36","1801","1646","6365","52.27","6,946.13"
"2/24/2026","383","97","1.12","0.83","1394","1202","139","289","31","41","1687","1713","6366","51.11","6,890.07"
"2/23/2026","142","590","0.87","0.79","1325","1260","112","361","28","49","1552","1808","6365","50.38","6,837.75"
"2/20/2026","189","236","1.53","1.17","1463","1175","106","320","22","42","1805","1698","6364","56.25","6,909.51"
"2/19/2026","288","145","0.96","0.93","1450","1145","86","258","24","36","1832","1690","6363","55.61","6,861.89"
"2/18/2026","319","107","0.73","0.83","1442","1172","133","235","25","37","1775","1713","6360","57.22","6,881.31"
"2/17/2026","220","250","0.63","0.73","1408","1245","119","313","23","44","1739","1799","6363","55.91","6,843.22"
"2/13/2026","288","116","0.73","0.76","1430","1254","103","311","22","39","1738","1784","6364","55.47","6,836.17"
"2/12/2026","121","674","0.97","0.66","1361","1288","107","342","22","46","1580","1873","6360","53.85","6,832.76"
"2/11/2026","227","461","0.91","0.73","1513","1191","142","261","26","40","1780","1702","6353","58.25","6,941.47"
"2/10/2026","214","189","0.92","0.75","1518","1128","136","230","24","38","1885","1614","6352","61.58","6,941.81"
"2/9/2026","296","135","0.82","0.76","1548","1120","162","215","29","33","1896","1623","6350","59.96","6,964.82"
"2/6/2026","638","81","0.78","0.69","1511","1155","160","218","29","35","1826","1698","6345","59.91","6,932.30"
"2/5/2026","98","748","0.46","0.55","1278","1331","117","300","18","39","1423","1898","6339","53.47","6,798.40"
"2/4/2026","279","505","0.59","0.77","1426","1146","129","190","20","31","1598","1667","6334","57.83","6,882.72"
"2/3/2026","326","537","0.59","0.96","1448","1096","185","158","31","27","1562","1582","6337","55.88","6,917.81"
"2/2/2026","274","200","0.69","0.96","1414","1060","175","106","31","24","1476","1526","6341","55.42","6,976.44"
"1/30/2026","152","458","0.57","0.94","1325","1081","180","98","35","23","1359","1603","6334","55.37","6,939.03"
"1/29/2026","211","411","0.71","1.10","1449","1014","245","84","52","25","1493","1355","6331","58.00","6,969.01"
"1/28/2026","174","309","1.14","1.27","1434","975","240","80","59","20","1547","1275","6327","55.40","6,978.03"
"1/27/2026","253","166","1.77","1.33","1497","939","224","77","48","21","1659","1168","6320","59.34","6,978.60"
"1/26/2026","159","307","1.32","1.37","1489","944","159","78","35","20","1649","1178","6312","61.22","6,950.23"
"1/23/2026","178","189","1.51","1.54","1552","919","196","60","43","17","1731","1081","6309","61.48","6,915.61"
"1/22/2026","438","83","1.61","1.68","1659","890","215","61","44","22","1897","997","6302","64.89","6,913.35"
"1/21/2026","536","140","1.39","1.55","1587","958","222","69","53","21","1814","1101","6300","64.54","6,875.62"
"1/20/2026","229","447","1.03","1.50","1426","1001","223","74","61","21","1571","1183","6301","58.64","6,796.86"
"1/16/2026","232","211","1.43","1.98","1561","936","248","65","78","20","1778","1065","6300","65.27","6,940.01"
"1/15/2026","288","190","1.57","2.12","1598","922","213","60","55","18","1802","1016","6297","66.92","6,944.47"
"1/14/2026","308","155","1.76","2.08","1539","913","203","61","58","18","1763","964","6297","65.02","6,926.60"
"1/13/2026","223","245","1.73","1.97","1518","924","155","75","34","22","1792","972","6294","62.21","6,963.74"
"1/12/2026","354","180","2.22","1.75","1514","924","133","84","28","24","1883","934","6293","61.83","6,977.27"
"1/9/2026","296","166","2.65","1.59","1465","944","135","101","27","26","2063","948","6294","61.96","6,966.28"
"1/8/2026","430","170","2.74","1.58","1428","947","115","90","24","25","2065","972","6290","60.77","6,921.46"
"1/7/2026","309","170","2.46","1.37","1330","983","113","81","24","26","1930","996","6290","53.59","6,920.93"
"1/6/2026","439","137","2.24","1.37","1366","997","109","85","27","23","2011","1013","6290","57.35","6,944.82"
"1/5/2026","659","163","1.38","1.32","1264","1027","96","86","25","25","1887","1099","6289","54.78","6,902.05"
"1/2/2026","432","188","0.82","1.09","1093","1076","99","86","26","25","1603","1192","6291","50.24","6,858.47"
"12/31/2025","133","145","0.57","0.94","1010","1091","109","84","28","27","1440","1276","6294","46.27","6,845.50"
"12/30/2025","121","164","0.51","0.95","1039","1086","119","88","31","28","1521","1261","6293","51.55","6,896.24"
"12/29/2025","109","391","0.63","0.97","1076","1069","108","100","29","25","1607","1224","6292","52.57","6,905.74"
"12/26/2025","109","219","1.24","1.29","1162","1035","131","82","25","24","1749","1162","6292","52.71","6,929.94"
"12/24/2025","78","38","1.56","1.56","1181","1027","158","74","37","22","1830","1128","6292","52.38","6,932.05"
"12/23/2025","100","199","1.53","1.53","1143","1061","199","70","35","19","1804","1246","6296","50.36","6,909.79"
"12/22/2025","186","84","2.03","2.03","1211","1049","256","60","55","14","1957","1209","6298","51.78","6,878.49"
"12/19/2025","412","175","1.98","1.98","1144","1086","298","52","57","16","1899","1329","6297","49.67","6,834.50"
"12/18/2025","227","148","1.53","1.53","1112","1125","235","70","37","21","1863","1402","6297","50.29","6,774.76"
